permno,date,RET,PRC,SHROUT
10078,198602,,,
10078,198603,,-14.5625,27108
10078,198604,0.111588,-16.1875,27108
10078,198605,0.111969,18,27108
10078,198606,-0.118056,15.875,27179
10078,198607,-0.03937,15.25,27179
10078,198608,-0.07377,14.125,27179
10078,198609,-0.00885,14,27239
10078,198610,0.348214,18.875,27239
10078,198611,0.145695,21.625,27239
10078,198612,0.109827,24,32143
10078,198701,0.135417,27.25,32143
10078,198702,0.036697,28.25,32143
10078,198703,0.09292,30.875,33414
10078,198704,0.165992,36,33414
10078,198705,0.208333,43.5,33414
10078,198706,-0.063218,40.75,34096
10078,198707,-0.150307,34.625,34096
10078,198708,0.119134,38.75,34096
10078,198709,-0.064516,36.25,34177
10078,198710,-0.068966,33.75,34177
10078,198711,-0.17037,28,34177
10078,198712,0.196429,33.5,34409
10078,198801,0,33.5,34409
10078,198802,-0.022388,32.75,34409
10078,198803,0.091603,35.75,34940
10078,198804,-0.013986,35.25,34940
10078,198805,-0.042553,33.75,34940
10078,198806,0.111111,37.5,36196
10078,198807,-0.023333,36.625,36196
10078,198808,0.054608,38.625,36196
10078,198809,-0.087379,35.25,36926
10078,198810,-0.191489,28.5,36926
10078,198811,-0.039474,27.375,36926
10078,198812,0.214612,16.625,75886
10078,198901,0.142857,19,75886
10078,198902,-0.065789,17.75,75886
10078,198903,-0.091549,16.125,80505
10078,198904,0.062016,17.125,80505
10078,198905,0.284672,22,80505
10078,198906,-0.227273,17,83963
10078,198907,-0.147059,14.5,83963
10078,198908,0.077586,15.625,83963
10078,198909,-0.024,15.25,85013
10078,198910,0.090164,16.625,85013
10078,198911,-0.022556,16.25,85013
10078,198912,0.061538,17.25,85307
10078,199001,0.123188,19.375,85307
10078,199002,0.154839,22.375,85307
10078,199003,0.011173,22.625,86942
10078,199004,0.088398,24.625,86942
10078,199005,0.233503,30.375,86942
10078,199006,0.119342,34,92613
10078,199007,-0.073529,31.5,92613
10078,199008,-0.087302,28.75,92613
10078,199009,-0.23913,21.875,98425
10078,199010,-0.268571,16,98425
10078,199011,0.304688,20.875,98425
10078,199012,0.023952,21.375,98584
10078,199101,0.327485,28.375,98584
10078,199102,0.132159,32.125,98584
10078,199103,-0.011673,31.75,100904
10078,199104,0.15748,36.75,100904
10078,199105,0.003401,36.875,100904
10078,199106,-0.244068,27.875,96360
10078,199107,0.098655,30.625,96360
10078,199108,0.053061,32.25,96360
10078,199109,-0.062016,30.25,97613
10078,199110,-0.181818,24.75,97613
10078,199111,-0.030303,24,97613
10078,199112,0.182292,28.375,97720
10078,199201,0.07489,30.5,97720
10078,199202,0.131148,34.5,97720
10078,199203,-0.17029,28.625,99741
10078,199204,-0.043668,27.375,99741
10078,199205,0.018265,27.875,99741
10078,199206,-0.06278,26.125,100002
10078,199207,0.023923,26.75,100002
10078,199208,0.004673,26.875,100002
10078,199209,0.162791,31.25,98364
10078,199210,0.128,35.25,98364
10078,199211,-0.099291,31.75,98364
10078,199212,0.059055,33.625,104881
10078,199301,0.159851,39,104881
10078,199302,-0.099359,35.125,104881
10078,199303,-0.145907,30,105780
10078,199304,-0.1,27,105780
10078,199305,0.111111,30,105780
10078,199306,-0.0125,29.625,102112
10078,199307,0.004219,29.75,102112
10078,199308,-0.117647,26.25,102112
10078,199309,-0.085714,24,96565
10078,199310,0.0625,25.5,96565
10078,199311,0.044118,26.625,96565
10078,199312,0.093897,29.125,93464
10078,199401,-0.090129,26.5,93464
10078,199402,0.023585,27.125,93464
10078,199403,0.009217,27.375,94333
10078,199404,-0.182648,22.375,94333
10078,199405,-0.067039,20.875,94333
10078,199406,-0.011976,20.625,93851
10078,199407,0.078788,22.25,93851
10078,199408,0.191011,26.5,93851
10078,199409,0.108491,29.375,94839
10078,199410,0.114894,32.75,94839
10078,199411,0.022901,33.5,94839
10078,199412,0.059701,35.5,95096
10078,199501,-0.077465,32.75,95096
10078,199502,-0.022901,32,95096
10078,199503,0.085938,34.75,95585
10078,199504,0.147482,39.875,95585
10078,199505,0.128527,45,95585
10078,199506,0.077778,48.5,98514
10078,199507,-0.007732,48.125,98514
10078,199508,0.202597,57.875,98514
10078,199509,0.088553,63,90936
10078,199510,0.238095,78,90936
10078,199511,0.078526,84.125,90936
10078,199512,0.084695,45.625,183306
10078,199601,0.008219,46,183306
10078,199602,0.141304,52.5,183306
10078,199603,-0.166667,43.75,184068
10078,199604,0.24,54.25,184068
10078,199605,0.154378,62.625,184068
10078,199606,-0.05988,58.875,185982
10078,199607,-0.072187,54.625,185982
10078,199608,-0.004577,54.375,185982
10078,199609,0.142529,62.125,183649
10078,199610,-0.018109,61,183649
10078,199611,-0.045082,58.25,183649
10078,199612,-0.118026,25.6875,368084
10078,199701,0.23601,31.75,368084
10078,199702,-0.027559,30.875,368084
10078,199703,-0.064777,28.875,368872
10078,199704,-0.002165,28.8125,368872
10078,199705,0.119306,32.25,368872
10078,199706,0.15407,37.21875,370486
10078,199707,0.22754,45.6875,370486
10078,199708,0.056088,48.25,370486
10078,199709,-0.029793,46.8125,374631
10078,199710,-0.268358,34.25,374631
10078,199711,0.051095,36,374631
10078,199712,0.107639,39.875,377367
10078,199801,0.202194,47.9375,377367
10078,199802,-0.006519,47.625,377367
10078,199803,-0.124016,41.71875,378811
10078,199804,-0.012734,41.1875,378811
10078,199805,-0.027314,40.0625,378811
10078,199806,0.084243,43.4375,381262
10078,199807,0.08777,47.25,381262
10078,199808,-0.161376,39.625,381262
10078,199809,0.257098,49.8125,380586
10078,199810,0.169385,58.25,380586
10078,199811,0.271459,74.0625,380586
10078,199812,0.156118,85.625,385265
10078,199901,0.30511,111.75,385583
10078,199902,-0.129195,97.3125,385583
10078,199903,0.285164,125.0625,385583
10078,199904,-0.043478,59.8125,771166
10078,199905,-0.001045,59.75,771166
10078,199906,0.15272,68.875,780553
10078,199907,-0.014519,67.875,780553
10078,199908,0.171271,79.5,780553
10078,199909,0.169811,93,780553
10078,199910,0.137769,105.8125,780553
10078,199911,0.249852,132.25,780553
10078,199912,0.171078,77.4375,1561106
10078,200001,0.014528,78.5625,1561106
10078,200002,0.21241,95.25,1561106
10078,200003,-0.01624,93.70313,1586413
10078,200004,-0.018843,91.9375,1588626
10078,200005,-0.166553,76.625,1588626
10078,200006,0.186786,90.9375,1597000
10078,200007,0.15945,105.4375,1597000
10078,200008,0.203912,126.9375,1597000
10078,200009,-0.080256,116.75,1609990
10078,200010,-0.050321,110.875,1609990
10078,200011,-0.31398,76.0625,1609990
10078,200012,-0.26705,27.875,3259868
10078,200101,0.096413,30.5625,3259868
10078,200102,-0.349693,19.875,3259868
10078,200103,-0.226667,15.37,3256804
10078,200104,0.113858,17.12,3256804
10078,200105,-0.037967,16.47,3256804
10078,200106,-0.045537,15.72,3248000
10078,200107,0.03626,16.29,3248000
10078,200108,-0.297115,11.45,3248000
10078,200109,-0.277729,8.27,3241598
10078,200110,0.227328,10.15,3241598
10078,200111,0.402956,14.24,3241598
10078,200112,-0.136236,12.3,3248420
10078,200201,-0.125203,10.76,3248420
10078,200202,-0.209108,8.51,3248420
10078,200203,0.036428,8.82,3246270
10078,200204,-0.072562,8.18,3246270
10078,200205,-0.157702,6.89,3246270
10078,200206,-0.272859,5.01,3246270
10078,200207,-0.217565,3.92,3246270
10078,200208,-0.058673,3.69,3246270
10078,200209,-0.298103,2.59,3114651
10078,200210,0.143243,2.961,3114651
10078,200211,0.449173,4.291,3114651
10078,200212,-0.275227,3.11,3194908
10078,200301,-0.006431,3.09,3194908
10078,200302,0.113269,3.44,3194908
10078,200303,-0.052326,3.26,3229645
10078,200304,0.015337,3.31,3229645
10078,200305,0.314199,4.35,3229645
10078,200306,0.068966,4.65,3229645
10078,200307,-0.191398,3.76,3229645
10078,200308,0.037234,3.9,3229645
10078,200309,-0.151282,3.31,3266764
10078,200310,0.193354,3.95,3266764
10078,200311,0.078481,4.26,3266764
10078,200312,0.049296,4.47,3286898
10078,200401,0.182774,5.287,3286898
10078,200402,0.00435,5.31,3286898
10078,200403,-0.214689,4.17,3326072
10078,200404,-0.064748,3.9,3326072
10078,200405,0.069231,4.17,3326072
10078,200406,0.038369,4.33,3326072
10078,200407,-0.08776,3.95,3326072
10078,200408,-0.020253,3.87,3326072
10078,200409,0.043928,4.04,3363075
10078,200410,0.113861,4.5,3363075
10078,200411,0.233333,5.55,3363075
10078,200412,-0.028829,5.39,3377861
10078,200501,-0.191095,4.36,3377861
10078,200502,-0.03211,4.22,3377861
10078,200503,-0.042654,4.04,3406019
10078,200504,-0.10396,3.62,3406019
10078,200505,0.052486,3.81,3406019
10078,200506,-0.020997,3.73,3410000
10078,200507,0.029491,3.84,3410000
10078,200508,-0.010417,3.8,3410031
10078,200509,0.034211,3.93,3414251
10078,200510,0.017812,4,3414251
10078,200511,-0.0575,3.77,3414251
10078,200512,0.111406,4.19,3460993
10078,200601,0.073986,4.5,3460993
10078,200602,-0.073333,4.17,3460993
10078,200603,0.230216,5.13,3497721
10078,200604,-0.025341,5,3497721
10078,200605,-0.074,4.63,3497721
10078,200606,-0.103672,4.15,3505000
10078,200607,0.048193,4.35,3505000
10078,200608,0.147126,4.99,3505000
10078,200609,-0.008016,4.95,3519559
10078,200610,0.09697,5.43,3519559
10078,200611,-0.001842,5.42,3519559
10078,200612,0,5.42,3600753
10078,200701,0.225092,6.64,3600753
10078,200702,-0.076807,6.13,3600753
10078,200703,-0.019576,6.01,3570245
10078,200704,-0.131448,5.22,3570245
10078,200705,-0.022969,5.1001,3570245
10078,200706,0.031352,5.26,3602000
10078,200707,-0.030418,5.1,3602000
10078,200708,0.05098,5.36,3537517
10078,200709,0.048507,5.62,3602000
10078,200710,0.016014,5.71,3602000
10078,200711,-0.090193,20.78,828582
10078,200712,-0.127527,18.13,792000
10078,200801,-0.034749,17.5,792771
10078,200802,-0.062857,16.4,792771
10078,200803,-0.053049,15.53,782000
10078,200804,0.008371,15.66,781784
10078,200805,-0.173052,12.95,781784
10078,200806,-0.159846,10.88,752000
10078,200807,-0.022978,10.63,752000
10078,200808,-0.15334,9,752953
10078,200809,-0.155556,7.6,739000
10078,200810,-0.394737,4.6,738585
10078,200811,-0.31087,3.17,738585
10078,200812,0.205047,3.82,745000
10078,200901,0.089005,4.16,744705
10078,200902,0.125,4.68,744705
10078,200903,0.564103,7.32,746000
10078,200904,0.251366,9.16,746253
10078,200905,-0.017467,9,748075
10078,200906,0.024444,9.22,753364
10078,200907,-0.005423,9.17,753364
10078,200908,0.011996,9.28,753364
10078,200909,-0.020474,9.09,754000
10078,200910,-0.10011,8.18,753940
10078,200911,0.040342,8.51,753940
10078,200912,0.101058,9.37,753940
10107,198602,,,
10107,198603,,27.5,25519
10107,198604,0.172727,32.25,25519
10107,198605,0.077519,34.75,25519
10107,198606,-0.115108,30.75,25520
10107,198607,-0.073171,28.5,25520
10107,198608,0,28.5,25520
10107,198609,-0.008772,28.25,25790
10107,198610,0.371681,38.75,25790
10107,198611,0.283871,49.75,25790
10107,198612,-0.030151,48.25,25994
10107,198701,0.515544,73.125,25994
10107,198702,0.049573,76.75,25994
10107,198703,0.260586,96.75,26146
10107,198704,0.074935,104,26146
10107,198705,0.108173,115.25,26146
10107,198706,-0.114967,102,26146
10107,198707,-0.078431,94,26146
10107,198708,0.263298,118.75,26146
10107,198709,0.115789,66.25,52999
10107,198710,-0.249057,49.75,52999
10107,198711,-0.100503,44.75,52999
10107,198712,0.21229,54.25,53239
10107,198801,0.02765,55.75,53239
10107,198802,0.065022,59.375,53239
10107,198803,-0.048421,56.5,53430
10107,198804,-0.035398,54.5,53430
10107,198805,0.06422,58,53430
10107,198806,0.155172,67,53663
10107,198807,-0.11194,59.5,53663
10107,198808,-0.159664,50,53663
10107,198809,0.045,52.25,53884
10107,198810,-0.062201,49,53884
10107,198811,-0.035714,47.25,53884
10107,198812,0.126984,53.25,54051
10107,198901,0.119718,59.625,54051
10107,198902,-0.002096,59.5,54051
10107,198903,-0.161765,49.875,54353
10107,198904,0.120301,55.875,54353
10107,198905,0.082774,60.5,54353
10107,198906,-0.123967,53,54586
10107,198907,0.033019,54.75,54586
10107,198908,0.073059,58.75,54586
10107,198909,0.165957,68.5,54996
10107,198910,0.193431,81.75,54996
10107,198911,0.06422,87,54996
10107,198912,0,87,55676
10107,199001,0.063218,92.5,55676
10107,199002,0.067568,98.75,55676
10107,199003,0.121519,110.75,55676
10107,199004,0.047404,58,111352
10107,199005,0.258621,73,111352
10107,199006,0.041096,76,113699
10107,199007,-0.125,66.5,113699
10107,199008,-0.075188,61.5,113699
10107,199009,0.02439,63,113700
10107,199010,0.011905,63.75,113700
10107,199011,0.133333,72.25,113700
10107,199012,0.041522,75.25,114700
10107,199101,0.303987,98.125,114700
10107,199102,0.057325,103.75,114700
10107,199103,0.022892,106.125,115773
10107,199104,-0.067138,99,115773
10107,199105,0.108586,109.75,115773
10107,199106,-0.068907,68.125,174234
10107,199107,0.078899,73.5,174234
10107,199108,0.159864,85.25,174234
10107,199109,0.043988,89,175100
10107,199110,0.054775,93.875,175100
10107,199111,0.035952,97.25,175100
10107,199112,0.143959,111.25,177300
10107,199201,0.080899,120.25,177300
10107,199202,0.027027,123.5,177300
10107,199203,-0.040486,118.5,179690
10107,199204,-0.06962,110.25,179690
10107,199205,0.097506,121,179690
10107,199206,-0.132231,70,272139
10107,199207,0.039286,72.75,272139
10107,199208,0.024055,74.5,272139
10107,199209,0.080537,80.5,275062
10107,199210,0.102484,88.75,275062
10107,199211,0.049296,93.125,275062
10107,199212,-0.083221,85.375,279000
10107,199301,0.013177,86.5,279000
10107,199302,-0.036127,83.375,279000
10107,199303,0.109445,92.5,281000
10107,199304,-0.075676,85.5,281000
10107,199305,0.083333,92.625,281000
10107,199306,-0.049933,88,282000
10107,199307,-0.159091,74,282000
10107,199308,0.015203,75.125,282000
10107,199309,0.09817,82.5,283808
10107,199310,-0.028788,80.125,283808
10107,199311,-0.00156,80,283808
10107,199312,0.007813,80.625,284000
10107,199401,0.055814,85.125,284000
10107,199402,-0.030837,82.5,284000
10107,199403,0.027273,84.75,286000
10107,199404,0.091445,92.5,286000
10107,199405,0.162162,53.75,572000
10107,199406,-0.039535,51.625,581000
10107,199407,-0.002421,51.5,581000
10107,199408,0.128641,58.125,581000
10107,199409,-0.034409,56.125,581000
10107,199410,0.122494,63,582384
10107,199411,-0.001984,62.875,582384
10107,199412,-0.027833,61.125,581000
10107,199501,-0.02863,59.375,581000
10107,199502,0.061053,63,581000
10107,199503,0.128968,71.125,584000
10107,199504,0.149385,81.75,585640
10107,199505,0.035933,84.6875,585640
10107,199506,0.067159,90.375,588000
10107,199507,0.001383,90.5,588000
10107,199508,0.022099,92.5,588000
10107,199509,-0.021622,90.5,590000
10107,199510,0.104972,100,590000
10107,199511,-0.12875,87.125,590000
10107,199512,0.007174,87.75,590000
10107,199601,0.054131,92.5,590000
10107,199602,0.066892,98.6875,590000
